timestamp_scrape,percentage,location_name,last_count,updated,open_boolean
2023-07-20 03:33:27.652810-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 03:33:27.652977-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 03:45:58.080428-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 03:45:58.080659-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 03:45:58.080846-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 03:45:58.081030-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 03:45:58.081207-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 04:07:29.302774-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 04:07:29.303007-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 04:07:29.303194-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 04:07:29.303379-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 04:07:29.303558-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 04:25:55.879549-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 04:25:55.879979-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 04:25:55.880231-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 04:25:55.880454-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 04:25:55.880661-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 04:32:40.293469-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 04:32:40.293702-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 04:32:40.293890-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 04:32:40.294075-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 04:32:40.294252-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 04:46:10.096803-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 04:46:10.097088-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 04:46:10.097317-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 04:46:10.097486-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 04:46:10.097649-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 05:04:07.508717-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 05:04:07.508988-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 05:04:07.509206-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 05:04:07.509421-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 05:04:07.509630-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 05:20:52.926954-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 05:20:52.927187-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 05:20:52.927380-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 05:20:52.927569-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 05:20:52.927749-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 05:31:15.511795-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 05:31:15.512019-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 05:31:15.512205-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 05:31:15.512387-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 05:31:15.512564-04:00,48.333333333333,SquashBusters - 4th Floor,29,07/19/2023 09:30 PM,True
2023-07-20 05:45:57.813079-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 05:45:57.813305-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 05:45:57.813492-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 05:45:57.813675-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 05:45:57.813851-04:00,18.333333333333,SquashBusters - 4th Floor,11,07/20/2023 05:45 AM,True
2023-07-20 06:04:19.065218-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 06:04:19.065479-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 06:04:19.065696-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 06:04:19.065909-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 06:04:19.066114-04:00,23.333333333333,SquashBusters - 4th Floor,14,07/20/2023 06:00 AM,True
2023-07-20 06:26:37.278542-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 06:26:37.278807-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 06:26:37.279031-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 06:26:37.279505-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 06:26:37.279721-04:00,23.333333333333,SquashBusters - 4th Floor,14,07/20/2023 06:00 AM,True
2023-07-20 06:33:53.498467-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 06:33:53.498696-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 06:33:53.498880-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 06:33:53.499064-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 06:33:53.499241-04:00,38.333333333333,SquashBusters - 4th Floor,23,07/20/2023 06:31 AM,True
2023-07-20 06:46:11.855888-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 06:46:11.856162-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 06:46:11.856380-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 06:46:11.856593-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 06:46:11.856800-04:00,38.333333333333,SquashBusters - 4th Floor,23,07/20/2023 06:31 AM,True
2023-07-20 07:02:39.244070-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 07:02:39.244305-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
2023-07-20 07:02:39.244492-04:00,40,Marino Center - 3rd Floor Weight Room,26,07/19/2023 10:33 PM,True
2023-07-20 07:02:39.244681-04:00,36.666666666667,Marino Center - 3rd Floor Select & Cardio,33,07/19/2023 10:33 PM,True
2023-07-20 07:02:39.244861-04:00,38.333333333333,SquashBusters - 4th Floor,23,07/20/2023 06:31 AM,True
2023-07-20 07:18:09.565262-04:00,19.047619047619,Marino Center - 2nd Floor,20,07/19/2023 11:00 PM,True
2023-07-20 07:18:09.565535-04:00,4,Functional Training Area,1,07/19/2023 07:28 PM,True
